dataset,model,strategy,k_pct,mean_mape,mean_mse,std_mape,median_mape,mean_rmse,mean_selection_time_s,mean_train_time_s,mean_predict_time_s,mean_total_time_s
Bike Sharing,extratrees,shap,1.0,0.30179403112898995,1650.5631098529363,0.020448593105630082,0.297337672098438,40.8253861988274,0.0,2.214040064061992,0.17125715348054651,2.454689138040412
Bike Sharing,extratrees,tree,0.25,0.5882480833159025,7870.3767954335035,0.0642888073300044,0.5712911039296269,88.67235792835172,2.496531704078661,0.5874144119175617,0.14297845761873754,3.2313265058374965
Bike Sharing,extratrees,tree,0.5,0.4402704317140555,4210.816547933689,0.024949466694301495,0.4394410690323952,64.8148561138124,2.372430030418327,1.3413996497669722,0.17182853207574222,3.9347428659710566
Bike Sharing,extratrees,tree,0.75,0.33298561585785164,2220.7259811589033,0.014865593692827988,0.33137484415804164,47.08828573854943,2.496531704078661,1.879569921233924,0.18416647256235588,4.644954717359505
Bike Sharing,extratrees,tree,1.0,0.30179403112898995,1650.5631098529363,0.020448593105630082,0.297337672098438,40.8253861988274,0.0,2.214040064061992,0.17125715348054651,2.454689138040412
Bike Sharing,ridge,mi,0.25,3.378245165657759,23674.895433209458,0.2522368108798973,3.3823093148697785,153.81905650879128,1.5228021857165732,0.0018313630972988401,0.00014876304427157504,1.524800669430988
Bike Sharing,ridge,mi,0.5,3.245948160708578,21485.881474580216,0.21664742424582117,3.2291402301751164,146.54585885727337,1.3840670277352911,0.00177252681343811,0.00015297673642631395,1.386008971040137
Bike Sharing,ridge,mi,0.75,3.405437528982359,19935.61763150525,0.22687533914817873,3.3785285278207473,141.15216607122716,1.5228021857165732,0.0017613225651438818,0.00014565528021190542,1.5247284156177192
Bike Sharing,ridge,mi,1.0,3.40550660325369,19902.13657812896,0.2261534709964085,3.3692398285367866,141.0422259288615,0.0,0.001712704360252196,0.00023771954351100427,0.00196431566379029
Bike Sharing,ridge,rfe,0.25,3.5200599386038705,21823.305373020452,0.25863013719364447,3.4919395306861096,147.68518288990916,0.055109678120352286,0.001231289856368622,0.0001366634177975004,0.056494297682074784
Bike Sharing,ridge,rfe,0.5,3.3756753124371404,19977.3539380329,0.22670783414916265,3.354305019589031,141.30804955243116,0.04985225293901745,0.002202270618872672,0.00013450234313491392,0.05220482115517367
Bike Sharing,ridge,rfe,0.75,3.38857401143177,19914.658860759,0.22733233972105102,3.365630251352115,141.07798148562065,0.055109678120352286,0.002796689537353772,0.0005321151413954383,0.05845869174576359
Bike Sharing,ridge,rfe,1.0,3.40550660325369,19902.13657812896,0.2261534709964085,3.3692398285367866,141.0422259288615,0.0,0.001712704360252196,0.00023771954351100427,0.00196431566379029
Bike Sharing,ridge,shap,0.25,3.559260296978071,22094.834452860672,0.3580336499045564,3.4608853013611927,148.58722087484807,0.003740394694032102,0.0016628816025331138,0.00013800089946013373,0.00555655317730265
Bike Sharing,ridge,shap,0.5,3.379788542052398,19980.69499657948,0.22567051790543902,3.3643082378808424,141.32049045995495,0.003694649174576578,0.001470850962214118,0.0001428850635420146,0.005325895459391134
